commit,interp_ms,compiled_ms,ffi_ms,typer_ms,cli_ms,wall_ms,passed,total
d31c3d3,1945,5589,205,1706,1976,6976,32,32
577b0f6,1991,5560,204,1725,1979,6954,32,32
a0e3a8f,1901,5542,205,1715,1985,6949,32,32
32b7787,2020,5679,204,1716,1978,6991,32,32
940e369,1896,5622,205,1663,1972,6838,32,32
78956c1,1952,5472,204,1800,1975,7191,32,32
1a288e9,2064,5696,205,1826,1970,7234,32,32
f1c0746,2016,5687,204,1836,1961,7239,32,32
efad3b5,2138,5699,206,1825,1993,7316,32,32
d3839be,2144,5677,206,1920,1998,7393,31,32
a0c21b2,2008,5675,206,1929,1982,7371,32,32
c3d3d81,2121,5795,205,1910,1986,7343,32,32
e40d897,2112,5823,205,1923,1970,7357,32,32
0b1ed97,2019,5670,204,1903,1996,7317,32,32
6a5ae3f,2171,5698,205,1909,1990,7328,32,32
59cf448,2113,5454,205,1937,2004,7401,32,32
42b3e04,2091,5620,205,1954,1994,7442,32,32
bd9421a,1990,5720,204,1945,2009,7454,32,32
f80812f,2021,5736,205,1886,1990,7294,32,32
448a5fe,2085,5667,204,1971,2006,7449,32,32
b16c1cc,2061,5667,205,1936,1991,7352,32,32
44c334c,2007,5545,204,1899,1996,7267,32,32
